,rand_layer,pearson,ssim,spearman,action
44,5,0.9421782768886904,0.9925034817856018,0.9907457278757207,1
45,1,0.6533936568021596,0.8430622743048761,0.855588323311692,5
46,2,0.9032461973987357,0.9845141156601115,0.9688770203086279,5
47,3,0.9186912985879396,0.9837878007317897,0.9803215920252938,5
48,4,0.9340359107014755,0.9876330289889458,0.9811801953162682,5
49,5,0.9322968717187559,0.9878825267951049,0.9808031636487378,5
50,1,0.8601096171330123,0.9674053617269516,0.962306766180695,2
51,2,0.9135790212558478,0.9862420817734493,0.9797523910107125,2
52,3,0.8780520074389468,0.9815009075143075,0.9757847950706392,2
53,4,0.9301280780610433,0.9886013035882684,0.9836218951267762,2
54,5,0.9345858126688974,0.98984959161106,0.985113743549939,2
55,1,0.7555989969130261,0.8995076471407281,0.8942837019977121,1
56,2,0.9372265787537928,0.9890527508160784,0.9881840753838596,1
57,3,0.9087138270012761,0.9892749736429914,0.9842800660353362,1
58,4,0.9308728096188388,0.9910635608312995,0.9892197822497201,1
59,5,0.9392556376161092,0.9922626105059585,0.9904551315704102,1
60,1,0.7602275222827559,0.8984440643282069,0.8938790006271933,1
61,2,0.9407476913758908,0.989429596392894,0.988605604415187,1
62,3,0.912750711435804,0.9897751379831573,0.9848223279402776,1
63,4,0.9305697721820119,0.9911561388699214,0.9893633297349732,1
64,5,0.9421782768886904,0.9925034817856018,0.9907457278757207,1
65,1,0.6533936568021596,0.8430622743048761,0.855588323311692,5
66,2,0.9032461973987357,0.9845141156601115,0.9688770203086279,5
67,3,0.9186912985879396,0.9837878007317897,0.9803215920252938,5
68,4,0.9340359107014755,0.9876330289889458,0.9811801953162682,5
69,5,0.9322968717187559,0.9878825267951049,0.9808031636487378,5
70,1,0.8601096171330123,0.9674053617269516,0.962306766180695,2
71,2,0.9135790212558478,0.9862420817734493,0.9797523910107125,2
72,3,0.8780520074389468,0.9815009075143075,0.9757847950706392,2
73,4,0.9301280780610433,0.9886013035882684,0.9836218951267762,2
74,5,0.9345858126688974,0.98984959161106,0.985113743549939,2
75,1,0.7555989969130261,0.8995076471407281,0.8942837019977121,1
